"keyword","metadata_keyword_regex","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at"
"*.dns2tcpdrc*","N/A","offensive_tool_keyword","dns2tcp","Dns2tcp is a tool for relaying TCP connections over DNS","T1071.004 - T1048.003","TA0011 - TA0001","N/A","N/A","C2","https://github.com/alex-sector/dns2tcp","1","0","N/A","10","10","159","50","2023-04-18T16:14:42Z","2017-11-23T11:19:53Z"
"*/.dns2tcprc*","N/A","offensive_tool_keyword","dns2tcp","Dns2tcp is a tool for relaying TCP connections over DNS","T1071.004 - T1048.003","TA0011 - TA0001","N/A","N/A","C2","https://github.com/alex-sector/dns2tcp","1","0","N/A","10","10","159","50","2023-04-18T16:14:42Z","2017-11-23T11:19:53Z"
"*/debian/dns2tcp*","N/A","offensive_tool_keyword","dns2tcp","Dns2tcp is a tool for relaying TCP connections over DNS","T1071.004 - T1048.003","TA0011 - TA0001","N/A","N/A","C2","https://github.com/alex-sector/dns2tcp","1","0","N/A","10","10","159","50","2023-04-18T16:14:42Z","2017-11-23T11:19:53Z"
"*/dns2tcp.git*","N/A","offensive_tool_keyword","dns2tcp","Dns2tcp is a tool for relaying TCP connections over DNS","T1071.004 - T1048.003","TA0011 - TA0001","N/A","N/A","C2","https://github.com/alex-sector/dns2tcp","1","1","N/A","10","10","159","50","2023-04-18T16:14:42Z","2017-11-23T11:19:53Z"
"*/dns2tcp/client/*","N/A","offensive_tool_keyword","dns2tcp","Dns2tcp is a tool for relaying TCP connections over DNS","T1071.004 - T1048.003","TA0011 - TA0001","N/A","N/A","C2","https://github.com/alex-sector/dns2tcp","1","0","N/A","10","10","159","50","2023-04-18T16:14:42Z","2017-11-23T11:19:53Z"
"*/dns2tcp/common/*","N/A","offensive_tool_keyword","dns2tcp","Dns2tcp is a tool for relaying TCP connections over DNS","T1071.004 - T1048.003","TA0011 - TA0001","N/A","N/A","C2","https://github.com/alex-sector/dns2tcp","1","0","N/A","10","10","159","50","2023-04-18T16:14:42Z","2017-11-23T11:19:53Z"
"*/dns2tcp/server*","N/A","offensive_tool_keyword","dns2tcp","Dns2tcp is a tool for relaying TCP connections over DNS","T1071.004 - T1048.003","TA0011 - TA0001","N/A","N/A","C2","https://github.com/alex-sector/dns2tcp","1","0","N/A","10","10","159","50","2023-04-18T16:14:42Z","2017-11-23T11:19:53Z"
"*/root/dns2tcp*","N/A","offensive_tool_keyword","dns2tcp","Dns2tcp is a tool for relaying TCP connections over DNS","T1071.004 - T1048.003","TA0011 - TA0001","N/A","N/A","C2","https://github.com/alex-sector/dns2tcp","1","0","N/A","10","10","159","50","2023-04-18T16:14:42Z","2017-11-23T11:19:53Z"
"*\\.\pipe\win-sux-no-async-anon-pipe-*-*","N/A","offensive_tool_keyword","dns2tcp","Dns2tcp is a tool for relaying TCP connections over DNS","T1071.004 - T1048.003","TA0011 - TA0001","N/A","N/A","C2","https://github.com/alex-sector/dns2tcp","1","0","N/A","10","10","159","50","2023-04-18T16:14:42Z","2017-11-23T11:19:53Z"
"*\dns2tcp\*","N/A","offensive_tool_keyword","dns2tcp","Dns2tcp is a tool for relaying TCP connections over DNS","T1071.004 - T1048.003","TA0011 - TA0001","N/A","N/A","C2","https://github.com/alex-sector/dns2tcp","1","0","N/A","10","10","159","50","2023-04-18T16:14:42Z","2017-11-23T11:19:53Z"
