"keyword","metadata_keyword_regex","metadata_keyword_type","metadata_tool","metadata_description","metadata_tool_techniques","metadata_tool_tactics","metadata_malwares_name","metadata_groups_name","metadata_category","metadata_link","metadata_enable_endpoint_detection","metadata_enable_proxy_detection","metadata_tags","metadata_comment","metadata_severity_score","metadata_popularity_score","metadata_github_stars","metadata_github_forks","metadata_github_updated_at","metadata_github_created_at"
"*/Voidgate.exe*",".{0,1000}\/Voidgate\.exe.{0,1000}","offensive_tool_keyword","Voidgate","bypass AV/EDR memory scanners. This can be used to hide well-known and detected shellcodes","T1027 - T1070 - T1055","TA0005","N/A","N/A","Defense Evasion","https://github.com/undergroundwires/privacy.sexy","1","1","N/A","N/A","9","10","3864","163","2024-08-02T19:36:51Z","2019-12-31T14:38:28Z"
"*/Voidgate.git*",".{0,1000}\/Voidgate\.git.{0,1000}","offensive_tool_keyword","Voidgate","bypass AV/EDR memory scanners. This can be used to hide well-known and detected shellcodes","T1027 - T1070 - T1055","TA0005","N/A","N/A","Defense Evasion","https://github.com/undergroundwires/privacy.sexy","1","1","N/A","N/A","9","10","3864","163","2024-08-02T19:36:51Z","2019-12-31T14:38:28Z"
"*\Voidgate.cpp*",".{0,1000}\\Voidgate\.cpp.{0,1000}","offensive_tool_keyword","Voidgate","bypass AV/EDR memory scanners. This can be used to hide well-known and detected shellcodes","T1027 - T1070 - T1055","TA0005","N/A","N/A","Defense Evasion","https://github.com/undergroundwires/privacy.sexy","1","0","N/A","N/A","9","10","3864","163","2024-08-02T19:36:51Z","2019-12-31T14:38:28Z"
"*\Voidgate.exe*",".{0,1000}\\Voidgate\.exe.{0,1000}","offensive_tool_keyword","Voidgate","bypass AV/EDR memory scanners. This can be used to hide well-known and detected shellcodes","T1027 - T1070 - T1055","TA0005","N/A","N/A","Defense Evasion","https://github.com/undergroundwires/privacy.sexy","1","0","N/A","N/A","9","10","3864","163","2024-08-02T19:36:51Z","2019-12-31T14:38:28Z"
"*\voidgate-master\*",".{0,1000}\\voidgate\-master\\.{0,1000}","offensive_tool_keyword","Voidgate","bypass AV/EDR memory scanners. This can be used to hide well-known and detected shellcodes","T1027 - T1070 - T1055","TA0005","N/A","N/A","Defense Evasion","https://github.com/undergroundwires/privacy.sexy","1","0","N/A","N/A","9","10","3864","163","2024-08-02T19:36:51Z","2019-12-31T14:38:28Z"
"*\Windows\temp\payload.bin*",".{0,1000}\\Windows\\temp\\payload\.bin.{0,1000}","offensive_tool_keyword","Voidgate","bypass AV/EDR memory scanners. This can be used to hide well-known and detected shellcodes","T1027 - T1070 - T1055","TA0005","N/A","N/A","Defense Evasion","https://github.com/undergroundwires/privacy.sexy","1","0","N/A","N/A","9","10","3864","163","2024-08-02T19:36:51Z","2019-12-31T14:38:28Z"
"*15bdbbebff7a58257d1cd0ade5d76877259c2b3152508f1b2534a6fcab89cb38*",".{0,1000}15bdbbebff7a58257d1cd0ade5d76877259c2b3152508f1b2534a6fcab89cb38.{0,1000}","offensive_tool_keyword","Voidgate","bypass AV/EDR memory scanners. This can be used to hide well-known and detected shellcodes","T1027 - T1070 - T1055","TA0005","N/A","N/A","Defense Evasion","https://github.com/undergroundwires/privacy.sexy","1","0","#filehash","N/A","9","10","3864","163","2024-08-02T19:36:51Z","2019-12-31T14:38:28Z"
"*39fa3b4151fd83044106b63e95a820f4f1d769714d4f73369dba7a2187e0918b*",".{0,1000}39fa3b4151fd83044106b63e95a820f4f1d769714d4f73369dba7a2187e0918b.{0,1000}","offensive_tool_keyword","Voidgate","bypass AV/EDR memory scanners. This can be used to hide well-known and detected shellcodes","T1027 - T1070 - T1055","TA0005","N/A","N/A","Defense Evasion","https://github.com/undergroundwires/privacy.sexy","1","0","#filehash","N/A","9","10","3864","163","2024-08-02T19:36:51Z","2019-12-31T14:38:28Z"
"*bba575ec-0c7f-42e1-9b59-b7c9cca522ba*",".{0,1000}bba575ec\-0c7f\-42e1\-9b59\-b7c9cca522ba.{0,1000}","offensive_tool_keyword","Voidgate","bypass AV/EDR memory scanners. This can be used to hide well-known and detected shellcodes","T1027 - T1070 - T1055","TA0005","N/A","N/A","Defense Evasion","https://github.com/undergroundwires/privacy.sexy","1","0","#GUIDproject","N/A","9","10","3864","163","2024-08-02T19:36:51Z","2019-12-31T14:38:28Z"
"*c06bb3f0-cbdc-4384-84cf-21b7fe6dfe01*",".{0,1000}c06bb3f0\-cbdc\-4384\-84cf\-21b7fe6dfe01.{0,1000}","offensive_tool_keyword","Voidgate","bypass AV/EDR memory scanners. This can be used to hide well-known and detected shellcodes","T1027 - T1070 - T1055","TA0005","N/A","N/A","Defense Evasion","https://github.com/undergroundwires/privacy.sexy","1","0","#GUIDproject","N/A","9","10","3864","163","2024-08-02T19:36:51Z","2019-12-31T14:38:28Z"
